Hãng sản xuất,Bộ nhớ trong_,Ram_,Chipset(CPU),man hinh,pin,Primary,Ultra_Wide,Telephoto,Giá
Xiaomi,32,2,MediaTek Helio G25 8 nhân,6.53,5000,13,0,0,Liên hệ
Xiaomi,32,2,MediaTek MT6761 (Helio A22),6.52,5000,8,0,0,2190000
Oppo,128,8,MediaTek Dimensity 900 5G,6.43,4300,64,8,2,12990000
Realme,256,8,MediaTek Dimensity 1080 (6 nm),6.7,5000,108,8,2,Liên hệ
Oppo,128,4,Mediatek MT6765G Helio G35 (12 nm),6.56,5000,13,2,0,4490000
BPhone,128,4,Helio G85,6.7,5.000,0,0,0,Liên hệ
Realme,128,6,Mediatek Helio G88 (12nm),6.72,,64,2,0,4990000
Xiaomi,128,4,Mediatek Helio G88 (12nm),6.79,5000,50,8,2,3990000
Xiaomi,256,8,Snapdragon 7s Gen 2,6.67,5100,200,8,2,9990000
Xiaomi,256,8,Snapdragon 8 GEN 2,6.36,13.,50,10,12,Liên hệ
Tecno,256,8,Mediatek Helio G99 Ultimate,6.78,5000,50,2,0,6490000
Xiaomi,256,12,Snapdragon 8s Gen 3 (4 nm),6.67,5000,50,8,2,8490000
Samsung,512,12,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),6.8,5000,200,10,10,36990000
Xiaomi,256,12,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),6.73,5000,50,50,50,20990000
BPhone,128,6,Helio G85,6.7,5.000,0,0,0,6490000
Oppo,64,4,MediaTek Helio G35,6.5,5000,50,2,2,4990000
Samsung,32,3,Unisoc T606 8 nhân,6.5,5000,48,2,0,2990000
Oppo,128,8,Qualcomm SM6375 Snapdragon 695 5G (6 nm),6.7,4800,108,2,2,9990000
Xiaomi,256,8,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),6.67,5000,108,13,5,Liên hệ
Realme,256,12,MediaTek Dimensity 8100 (5 nm),6.7,5000,8,2,0,Liên hệ
Xiaomi,256,12,Snapdragon 8+ Gen 1 (4 nm),8.02,4500,50,8,13,30990000
Xiaomi,256,12,Snapdragon 8+ Gen 1 (4 nm),11,8600,50,2,0,12990000
Samsung,256,8,Dimensity 1080,6.6,5000,48,8,5,9990000
Samsung,128,8,Dimensity 1080,6.6,5000,48,8,5,8490000
Xiaomi,256,12,Snapdragon 8 Gen 2 (4 nm),6.73,4820,50,50,50,Liên hệ
Xiaomi,128,6,Qualcomm Snapdragon 685,6.67,5000,108,8,2,4890000
Oppo,128,6,Mediatek MT6769 Helio G85 (12nm),6.72,5000,50,2,0,5690000
ZTE,128,8,Unisoc T606 Octa-Core 1.6GHz,6.6,5000,50,2,2,2990000
Oppo,64,4,Mediatek MT6769 Helio G85 (12nm),6.56,5000,8,2,0,3990000
Xiaomi,256,8,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.67,5500,64,8,2,Liên hệ
Samsung,128,8,Exynos 1280,6.5,6000,50,2,0,7990000
Oppo,64,4,Lõi tám (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),6.56,5000,50,2,0,3990000
ZTE,256,16,Unisoc T606,6.6,5000,50,2,0,Liên hệ
Samsung,128,8,Exynos 1480,6.6,5000,50,12,5,9990000
Xiaomi,256,16,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.67,,64,8,2,9990000
Xiaomi,256,8,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.73,4860,50,48,48,Liên hệ
Xiaomi,256,12,Qualcomm SM8350 Snapdragon 888 5G (5 nm),6.67,5000,108,8,5,Liên hệ
Apple,256,6,Apple A16 Bionic,6.1,3.200,48,12,12,Liên hệ
Xiaomi,128,8,Snapdragon 8+ Gen 1 (4 nm),6.73,4600,50,50,50,Liên hệ
Realme,256,8,Snapdragon 7+ Gen 2,6.74,5500,64,8,2,Liên hệ
Xiaomi,256,8,MediaTek Dimensity 1080 (6 nm),6.67,5000,8,2,0,Liên hệ
Samsung,512,12,Snapdragon 8 Gen 1 8 nhân,6.8,5000,108,12,10,36990000
Oppo,256,12,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),6.7,4600,50,32,8,14990000
Xiaomi,512,16,Dimensity 7200 Ultra (4 nm),6.67,5000,200,8,2,Liên hệ
Xiaomi,256,8,Snapdragon 7s Gen 2,6.67,5100,200,8,2,6990000
Xiaomi,128,6,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),11,8840,13,0,0,7990000
Realme,256,16,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.74,5000,8,2,0,12990000
Realme,128,8,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),6.62,5000,64,8,2,Liên hệ
Samsung,128,8,Exynos 2200 (4 nm),6.4,4500,50,8,12,14990000
Apple,256,8,A17 Pro,6.7,4422,48,12,0,36990000
Realme,256,12,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),6.78,5500,50,8,0,9690000
Xiaomi,128,6,Snapdragon 4 Gen 1,6.67,5000,48,2,0,4990000
Nokia,128,48,Unisoc T107,1.8,1020,8,0,0,810000
Realme,256,12,Dimensity 7050 (6 nm),6.7,5000,200,8,2,8990000
Xiaomi,256,12,Snapdragon 8 Gen 2 (4 nm),6.73,4820,50,50,50,Liên hệ
Realme,256,12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),6.74,5000,8,2,0,12990000
Nokia,,,Unisoc T107,1.77,,0,0,0,710000
Nokia,128,4,Unisoc SC9863A,6.5,5000,0,0,0,3290000
Tecno,128,8,Mediatek Helio G88 (12nm),6.8,5000,50,8,0,3990000
Samsung,512,12,Snapdragon 8 Gen 2 for Galaxy,7.6,4400,50,12,12,44990000
Xiaomi,256,12,Mediatek Dimensity 8200 Ultra (4 nm),6.55,4500,50,8,2,8990000
Tecno,256,8,Mediatek Helio G99 Ultimate,6.78,5000,108,2,32,5490000
Xiaomi,256,8,Snapdragon 8 Gen 2 (4 nm),6.67,5000,54,8,2,Liên hệ
INOI,128,6,Unisoc T606,6.5,4000,48,2,2,2590000
Oppo,64,3,Mediatek MT6765 Helio G35 (12 nm),6.56,5000,8,0,0,3290000
Samsung,1,12,Snapdragon 8 Gen 3 (4 nm),6.8,5000,200,50,10,44490000
Apple,256,6,6-core CPU,6.1,,48,12,12,Liên hệ
Nokia,,,Unisoc T107,1.8,1450,0,0,0,780000
Apple,64,4,Apple A13 Bionic (7 nm+),6.1,3110,12,0,0,14990000
ZTE,256,8,Snapdragon 8 Gen 2 (4 nm),6.8,6000,50,8,2,16990000
Nokia,32,3,Unisoc T606,6.52,5000,50,2,0,3390000
Oppo,128,8,Qualcomm SM6225 Snapdragon 680 4G (6 nm),6.56,5000,0,0,0,6290000
Xiaomi,128,8,MediaTek Dimensity 8100-Ultra,6.67,5000,108,8,2,12490000
Xiaomi,256,12,MediaTek Dimensity 8100 (5 nm),6.67,5500,48,8,2,9490000
Samsung,256,8,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),6.6,4700,50,10,12,26990000
TCL,64,4,Helio G25,6.6,5000,13,2,0,2190000
Xiaomi,256,8,,6.78,,0,0,0,7990000
Tecno,256,8,MTK Helio G99 Ultimate,6.78,6000,108,0,0,6490000
Samsung,128,4,MediaTek MT6833 Dimensity 700 (7 nm),6.6,5000,50,2,2,Liên hệ
Xiaomi,256,8,Snapdragon 8+ Gen 1 (4 nm),11,8600,50,2,0,9990000
INOI,128,4,MediaTek G88,6.75,5000,50,16,8,Liên hệ
Xiaomi,128,8,MediaTek Helio G96 8 nhân,6.67,5000,108,8,2,Liên hệ
ZTE,256,16,Snapdragon 8 Gen 3 (4 nm),6.8,5500,50,50,2,Liên hệ
Samsung,128,4,Snapdragon 680 (SM6225),6.6,5.000,50,5,2,5690000
Xiaomi,1,16,Mediatek Dimensity 9200+ (4 nm),6.67,5000,8,2,0,Liên hệ
Oppo,256,8,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),6.7,5000,64,8,2,8690000
Xiaomi,128,4,Mediatek MT6769Z Helio G85 (12nm),6.74,5000,50,2,8,3590000
Samsung,128,6,Mediatek MT8781 Helio G99 (6nm),6.5,5000,50,5,2,6490000
Samsung,256,8,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),6.8,5000,200,10,10,31990000
Tecno,64,4,MediaTek MT6762D Helio A25 (12 nm),6.52,5000,13,0,0,Liên hệ
Oppo,256,12,Mediatek Dimensity 7300 Energy (4 nm),6.7,5000,50,8,2,12990000
Tecno,256,8,MediaTek Helio G99 (6nm),6.78,6000,50,0,0,5990000
Oppo,256,8,MediaTek Helio G99 (6nm),6.43,5000,100,2,2,8990000
Tecno,256,8,MediaTek MT6769Z Helio G85 (12nm),6.67,5000,64,2,0,4990000
Samsung,128,4,Qualcomm SM7225 Snapdragon 750 5G (8 nm),6.6,5000,48,12,5,3290000
Nokia,128,48,Unisoc T107,1.8,1020,0,0,0,710000
ZTE,128,4,Unisoc SC9863A,6.6,5000,13,2,0,2290000
Xiaomi,256,8,MediaTek Dimensity 8100 (5 nm),6.67,5500,48,8,2,9490000
ZTE,256,8,Chipset Qualcomm SM8550-AB,6.8,80,50,8,2,Liên hệ
Oppo,256,8,Snapdragon 680 4G (6nm),6.43,5000,50,2,0,6990000
Apple,256,6,Apple A15 Bionic,6.1,3.279,12,12,0,28990000
Xiaomi,128,6,Qualcomm SM6375 Snapdragon 695 5G (6 nm),6.67,5000,48,8,2,6990000
ZTE,128,8,Unisoc T606 Octa-Core 1.6GHz,6.6,5000,50,2,2,3290000
